A,B,C
CMM,Melanoma, Autosomal dominant
MLM,Melanoma, Autosomal dominant
DNS,Melanoma, Autosomal dominant
CTRCT8,Cataract 8, Autosomal dominant
CCV,Cataract 8, Autosomal dominant
DYX8,Dyslexia, Multifactorial
DVL1,Robinow syndrome, Autosomal dominant
DRS2,Robinow syndrome, Autosomal dominant
ATAD3A,Harel-Yoon syndrome, Autosomal dominant
HAYOS,Harel-Yoon syndrome, Autosomal dominant
TMEM240,Spinocerebellar ataxia 21, Autosomal dominant
C1orf70,Spinocerebellar ataxia 21, Autosomal dominant
SCA21,Spinocerebellar ataxia 21, Autosomal dominant
GNB1,Mental retardation, Autosomal dominant
MRD42,Mental retardation, Autosomal dominant
GABRD,Epilepsy, Autosomal dominant
GABRD,Epilepsy, Autosomal dominant
GABRD,Epilepsy, Autosomal dominant
GEFSP5,Epilepsy, Autosomal dominant
GEFSP5,Epilepsy, Autosomal dominant
GEFSP5,Epilepsy, Autosomal dominant
EIG10,Epilepsy, Autosomal dominant
EIG10,Epilepsy, Autosomal dominant
EIG10,Epilepsy, Autosomal dominant
EJM7,Epilepsy, Autosomal dominant
EJM7,Epilepsy, Autosomal dominant
EJM7,Epilepsy, Autosomal dominant
SKI,Shprintzen-Goldberg syndrome, Autosomal dominant
SGS,Shprintzen-Goldberg syndrome, Autosomal dominant
DYT13,Dystonia 13, Autosomal dominant
PRDM16,Left ventricular noncompaction 8, Autosomal dominant
PRDM16,Cardiomyopathy, Autosomal dominant
MEL1,Left ventricular noncompaction 8, Autosomal dominant
MEL1,Cardiomyopathy, Autosomal dominant
LVNC8,Left ventricular noncompaction 8, Autosomal dominant
LVNC8,Cardiomyopathy, Autosomal dominant
CMD1LL,Left ventricular noncompaction 8, Autosomal dominant
CMD1LL,Cardiomyopathy, Autosomal dominant
CAMTA1,Cerebellar ataxia, Autosomal dominant
KIAA0833,Cerebellar ataxia, Autosomal dominant
CANPMR,Cerebellar ataxia, Autosomal dominant
SCZD12,Schizophrenia 12, Autosomal dominant
PER3,Advanced sleep phase syndrome, Autosomal dominant
FASPS3,Advanced sleep phase syndrome, Autosomal dominant
RERE,Neurodevelopmental disorder with or without anomalies of the brain, Autosomal dominant
NEDBEH,Neurodevelopmental disorder with or without anomalies of the brain, Autosomal dominant
PIK3CD,Immunodeficiency 14, Autosomal dominant
APDS,Immunodeficiency 14, Autosomal dominant
IMD14,Immunodeficiency 14, Autosomal dominant
KIF1B,Pheochromocytoma, Autosomal dominant
KIF1B,Charcot-Marie-Tooth disease, Autosomal dominant
KIF1B,Neuroblastoma, Somatic mutation
CMT2A,Pheochromocytoma, Autosomal dominant
CMT2A,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2A,Neuroblastoma, Somatic mutation
CMT2A1,Pheochromocytoma, Autosomal dominant
CMT2A1,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2A1,Neuroblastoma, Somatic mutation
NBLST1,Pheochromocytoma, Autosomal dominant
NBLST1,Charcot-Marie-Tooth disease, Autosomal dominant
NBLST1,Neuroblastoma, Somatic mutation
TARDBP,Frontotemporal lobar degeneration, Autosomal dominant
TARDBP,Amyotrophic lateral sclerosis 10, Autosomal dominant
TDP43,Frontotemporal lobar degeneration, Autosomal dominant
TDP43,Amyotrophic lateral sclerosis 10, Autosomal dominant
ALS10,Frontotemporal lobar degeneration, Autosomal dominant
ALS10,Amyotrophic lateral sclerosis 10, Autosomal dominant
MTOR,Smith-Kingsmore syndrome, Autosomal dominant
FRAP1,Smith-Kingsmore syndrome, Autosomal dominant
SKS,Smith-Kingsmore syndrome, Autosomal dominant
UBIAD1,Corneal dystrophy, Autosomal dominant
TERE1,Corneal dystrophy, Autosomal dominant
SCCD,Corneal dystrophy, Autosomal dominant
MTHFR,Schizophrenia, Autosomal dominant
MTHFR,Thromboembolism, Autosomal dominant
NPPA,Atrial fibrillation, Autosomal dominant
PND,Atrial fibrillation, Autosomal dominant
ANP,Atrial fibrillation, Autosomal dominant
ATFB6,Atrial fibrillation, Autosomal dominant
ATRST2,Atrial fibrillation, Autosomal dominant
MFN2,Hereditary motor and sensory neuropathy VIA, Autosomal dominant
MFN2,Charcot-Marie-Tooth disease, Autosomal dominant
KIAA0214,Hereditary motor and sensory neuropathy VIA, Autosomal dominant
KIAA0214,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2A2A,Hereditary motor and sensory neuropathy VIA, Autosomal dominant
CMT2A2A,Charcot-Marie-Tooth disease, Autosomal dominant
HMSN6A,Hereditary motor and sensory neuropathy VIA, Autosomal dominant
HMSN6A,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2A2B,Hereditary motor and sensory neuropathy VIA, Autosomal dominant
CMT2A2B,Charcot-Marie-Tooth disease, Autosomal dominant
CTRC,Pancreatitis, Autosomal dominant
CLCR,Pancreatitis, Autosomal dominant
CELA2A,Abdominal obesity-metabolic syndrome 4, Autosomal dominant
ELA2A,Abdominal obesity-metabolic syndrome 4, Autosomal dominant
AOMS4,Abdominal obesity-metabolic syndrome 4, Autosomal dominant
ANIB3,Aneurysm, Autosomal dominant
EA8,Episodic ataxia, Autosomal dominant
EPHA2,Cataract 6, Autosomal dominant
